No,Name,Dex. No.,Type,HP,Atk,Def,Sp. Atk,Sp. Def,Spd,Total,Abilities,Banned,Viable,Mythical,Restricted,SWSH Dex,Forms,Tiering
73,Golduck,55,Water,80,82,78,95,80,85,500,Damp Cloud Nine Swift Swim,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1 point
74,Mankey,56,Fighting,40,80,35,35,45,70,305,Vital Spirit Anger Point Defiant,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
75,Primeape,57,Fighting,65,105,60,60,70,95,455,Vital Spirit Anger Point Defiant,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3 points
76,Growlithe,58,Fire,55,70,45,70,50,60,350,Intimidate Flash Fire Justified,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
77,Arcanine,59,Fire,90,110,80,100,80,95,555,Intimidate Flash Fire Justified,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11 points
78,Poliwag,60,Water,40,50,40,40,40,90,300,Water Absorb Damp Swift Swim,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
79,Poliwhirl,61,Water,65,65,65,50,50,90,385,Water Absorb Damp Swift Swim,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
80,Poliwrath,62,Water Fighting,90,95,95,70,90,70,510,Water Absorb Damp Swift Swim,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4 points
81,Abra,63,Psychic,25,20,15,105,55,90,310,Synchronize Inner Focus Magic Guard,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
82,Kadabra,64,Psychic,40,35,30,120,70,105,400,Synchronize Inner Focus Magic Guard,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1 point
83,Alakazam-Mega,65,Psychic,55,50,65,175,105,150,600,Trace,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,17 points
84,Alakazam,65,Psychic,55,50,45,135,95,120,500,Synchronize Inner Focus Magic Guard,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13 points
85,Machop,66,Fighting,70,80,50,35,35,35,305,Guts No Guard Steadfast,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
86,Machoke,67,Fighting,80,100,70,50,60,45,405,Guts No Guard Steadfast,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1 point
87,Machamp,68,Fighting,90,130,80,65,85,65,515,Guts No Guard Steadfast,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6 points
88,Bellsprout,69,Grass Poison,50,75,35,70,30,40,300,Chlorophyll  Gluttony,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
89,Weepinbell,70,Grass Poison,65,90,50,85,45,55,390,Chlorophyll  Gluttony,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
90,Victreebel,71,Grass Poison,80,105,65,100,70,70,490,Chlorophyll  Gluttony,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2 points
91,Tentacool,72,Water Poison,40,40,35,50,100,70,335,Clear Body Liquid Ooze Rain Dish,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
92,Tentacruel,73,Water Poison,80,75,65,80,120,100,520,Clear Body Liquid Ooze Rain Dish,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8 points
93,Geodude-Alola,74,Rock Electric,40,80,100,30,30,20,300,Magnet Pull Sturdy Galvanize,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
94,Geodude,74,Rock Ground,40,80,100,30,30,20,300,Rock Head Sturdy Sand Veil,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
95,Graveler-Alola,75,Rock Electric,55,95,115,45,45,35,390,Magnet Pull Sturdy Galvanize,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
96,Graveler,75,Rock Ground,55,95,115,45,45,35,390,Rock Head Sturdy Sand Veil,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
97,Golem,76,Rock Ground,80,120,130,55,65,45,495,Rock Head Sturdy Sand Veil,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
98,Golem-Alola,76,Rock Electric,80,120,130,55,65,45,495,Magnet Pull Sturdy Galvanize,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2 points
99,Ponyta,77,Fire,50,85,55,65,65,90,410,Run Away Flash Fire Flame Body,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
100,Ponyta-Galar,77,Psychic,50,85,55,65,65,90,410,Run Away Pastel Veil Anticipation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
101,Rapidash-Galar,78,Psychic Fairy,65,100,70,80,80,105,500,Run Away Pastel Veil Anticipation,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2 points
102,Rapidash,78,Fire,65,100,70,80,80,105,500,Run Away Flash Fire Flame Body,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2 points
103,Slowpoke,79,Water Psychic,90,65,65,40,40,15,315,Oblivious Own Tempo Regenerator,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
104,Slowpoke-Galar,79,Psychic,90,65,65,40,40,15,315,Gluttony Own Tempo Regenerator,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
105,Slowbro-Mega,80,Water Psychic,95,75,180,130,80,30,590,Shell Armor,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,12 points
106,Slowbro-Galar,80,Poison Psychic,95,100,95,100,70,30,490,Quick Draw Own Tempo Regenerator,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,7 points
107,Slowbro,80,Water Psychic,95,75,110,100,80,30,490,Oblivious Own Tempo Regenerator,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,14 points
108,Magnemite,81,Electric Steel,25,35,70,95,55,45,325,Magnet Pull Sturdy Analytic,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
109,Magneton,82,Electric Steel,50,60,95,120,70,70,465,Magnet Pull Sturdy Analytic,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5 points
110,Farfetch'd-Galar,83,Fighting,52,95,55,58,62,55,377,Steadfast  Scrappy,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
111,Farfetch'd,83,Normal Flying,52,90,55,58,62,60,377,Keen Eye Inner Focus Defiant,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
112,Doduo,84,Normal Flying,35,85,45,35,35,75,310,Run Away Early Bird Tangled Feet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
113,Dodrio,85,Normal Flying,60,110,70,60,60,110,470,Run Away Early Bird Tangled Feet,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1 point
114,Seel,86,Water,65,45,55,45,70,45,325,Thick Fat Hydration Ice Body,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
115,Dewgong,87,Water Ice,90,70,80,70,95,70,475,Thick Fat Hydration Ice Body,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
116,Grimer,88,Poison,80,80,50,40,50,25,325,Stench Sticky Hold Poison Touch,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
117,Grimer-Alola,88,Poison Dark,80,80,50,40,50,25,325,Poison Touch Gluttony Power of Alchemy,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
118,Muk,89,Poison,105,105,75,65,100,50,500,Stench Sticky Hold Poison Touch,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1 point
119,Muk-Alola,89,Poison Dark,105,105,75,65,100,50,500,Poison Touch Gluttony Power of Alchemy,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,9 points
120,Shellder,90,Water,30,65,100,45,25,40,305,Shell Armor Skill Link Overcoat,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
121,Cloyster,91,Water Ice,50,95,180,85,45,70,525,Shell Armor Skill Link Overcoat,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8 points
122,Gastly,92,Ghost Poison,30,35,30,100,35,80,310,Levitate,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
123,Haunter,93,Ghost Poison,45,50,45,115,55,95,405,Levitate,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1 point
124,Gengar-Mega,94,Ghost Poison,60,65,80,170,95,130,600,Shadow Tag,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,17 points
125,Gengar,94,Ghost Poison,60,65,60,130,75,110,500,Cursed Body,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,14 points
126,Onix,95,Rock Ground,35,45,160,30,45,70,385,Rock Head Sturdy Weak Armor,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
127,Drowzee,96,Psychic,60,48,45,43,90,42,328,Insomnia Forewarn Inner Focus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
128,Hypno,97,Psychic,85,73,70,73,115,67,483,Insomnia Forewarn Inner Focus,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
129,Krabby,98,Water,30,105,90,25,25,50,325,Hyper Cutter Shell Armor Sheer Force,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
130,Kingler,99,Water,55,130,115,50,50,75,475,Hyper Cutter Shell Armor Sheer Force,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2 points
131,Voltorb,100,Electric,40,30,50,55,55,100,330,Soundproof Static Aftermath,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
132,Electrode,101,Electric,60,50,70,80,80,150,490,Soundproof Static Aftermath,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1 point
133,Exeggcute,102,Grass Psychic,60,40,80,60,45,40,325,Chlorophyll  Harvest,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
134,Exeggutor,103,Grass Psychic,95,95,85,125,75,55,530,Chlorophyll  Harvest,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1 point
135,Exeggutor-Alola,103,Grass Dragon,95,105,85,125,75,45,530,Frisk  Harvest,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2 points
136,Cubone,104,Ground,50,50,95,40,50,35,320,Rock Head Lightning Rod Battle Armor,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
137,Marowak,105,Ground,60,80,110,50,80,45,425,Rock Head Lightning Rod Battle Armor,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
138,Marowak-Alola,105,Ghost Fire,60,80,110,50,80,45,425,Cursed Body Lightning Rod Rock Head,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,8 points
139,Hitmonlee,106,Fighting,50,120,53,35,110,87,455,Limber Reckless Unburden,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7 points
140,Hitmonchan,107,Fighting,50,105,79,35,110,76,455,Keen Eye Iron Fist Inner Focus,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3 points
141,Lickitung,108,Normal,90,55,75,60,75,30,385,Own Tempo Oblivious Cloud Nine,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1 point
142,Koffing,109,Poison,40,65,95,60,45,35,340,Levitate,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
143,Weezing-Galar,110,Poison Fairy,65,90,120,85,70,60,490,Levitate Neutralizing Gas Misty Surge,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,10 points
144,Weezing,110,Poison,65,90,120,85,70,60,490,Levitate Neutralizing Gas Stench,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5 points
145,Rhyhorn,111,Ground Rock,80,85,95,30,30,25,345,Lightning Rod Rock Head Reckless,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
146,Rhydon,112,Ground Rock,105,130,120,45,45,40,485,Lightning Rod Rock Head Reckless,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3 points
147,Chansey,113,Normal,250,5,5,35,105,50,450,Natural Cure Serene Grace Healer,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9 points
148,Tangela,114,Grass,65,55,115,100,40,60,435,Chlorophyll Leaf Guard Regenerator,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4 points
149,Kangaskhan-Mega,115,Normal,105,125,100,60,100,100,590,Parental Bond,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,
150,Kangaskhan,115,Normal,105,95,80,40,80,90,490,Early Bird Scrappy Inner Focus,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3 points
151,Horsea,116,Water,30,40,70,70,25,60,295,Swift Swim Sniper Damp,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
152,Seadra,117,Water,55,65,95,95,45,85,440,Poison Point Sniper Damp,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
153,Goldeen,118,Water,45,67,60,35,50,63,320,Swift Swim Water Veil Lightning Rod,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
154,Seaking,119,Water,80,92,65,65,80,68,450,Swift Swim Water Veil Lightning Rod,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
155,Staryu,120,Water,30,45,55,70,55,85,340,Illuminate Natural Cure Analytic,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
156,Starmie,121,Water Psychic,60,75,85,100,85,115,520,Illuminate Natural Cure Analytic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13 points
157,Mr. Mime,122,Psychic Fairy,40,45,65,100,120,90,460,Soundproof Filter Technician,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2 points
158,Mr. Mime-Galar,122,Ice Psychic,50,65,65,90,90,100,460,Vital Spirit Screen Cleaner Ice Body,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2 points
159,Scyther,123,Bug Flying,70,110,80,55,80,105,500,Swarm Technician Steadfast,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5 points
160,Jynx,124,Ice Psychic,65,50,35,115,95,95,455,Oblivious Forewarn Dry Skin,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2 points
161,Electabuzz,125,Electric,65,83,57,95,85,105,490,Static  Vital Spirit,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2 points
162,Magmar,126,Fire,65,95,57,100,85,93,495,Flame Body  Vital Spirit,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
163,Pinsir-Mega,127,Bug Flying,65,155,120,65,90,105,600,Aerilate,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,10 points
164,Pinsir,127,Bug,65,125,100,55,70,85,500,Hyper Cutter Mold Breaker Moxie,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1 point
165,Tauros,128,Normal,75,100,95,40,70,110,490,Intimidate Anger Point Sheer Force,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4 points
166,Magikarp,129,Water,20,10,55,15,20,80,200,Swift Swim  Rattled,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
167,Gyarados-Mega,130,Water Dark,95,155,109,70,130,81,640,Mold Breaker,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,11 points
168,Gyarados,130,Water Flying,95,125,79,60,100,81,540,Intimidate  Moxie,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,10 points
169,Lapras,131,Water Ice,130,85,80,85,95,60,535,Water Absorb Shell Armor Hydration,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2 points
170,Ditto,132,Normal,48,48,48,48,48,48,288,Limber  Imposter,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5 points
171,Eevee,133,Normal,55,55,50,45,65,55,325,Run Away Adaptability Anticipation,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
172,Vaporeon,134,Water,130,65,60,110,95,65,525,Water Absorb  Hydration,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9 points
173,Jolteon,135,Electric,65,65,60,110,95,130,525,Volt Absorb  Quick Feet,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3 points
174,Flareon,136,Fire,65,130,60,95,110,65,525,Flash Fire  Guts,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3 points
175,Porygon,137,Normal,65,60,70,85,75,40,395,Trace Download Analytic,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
176,Omanyte,138,Rock Water,35,40,100,90,55,35,355,Swift Swim Shell Armor Weak Armor,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
177,Omastar,139,Rock Water,70,60,125,115,70,55,495,Swift Swim Shell Armor Weak Armor,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4 points
178,Kabuto,140,Rock Water,30,80,90,55,45,55,355,Swift Swim Battle Armor Weak Armor,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
179,Kabutops,141,Rock Water,60,115,105,65,70,80,495,Swift Swim Battle Armor Weak Armor,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5 points
